px-x px-y   scale       angle
2190 2831 0.9082052344 72.708
2196 2857 0.9222611719 80.529
2201 2883 0.9354248438 92.488
2204 2910 0.9493926563 104.987
2203 2938 0.9624792188 116.521
2198 2967 0.9764029688 129.479
2187 2994 0.9891957813 -219.626
2171 3021 1.0013019531 -213.234
2149 3047 1.0126260156 -208.557
2122 3071 1.0249157813 -203.934
2091 3093 1.0402678906 -202.151
2057 3112 1.055825625 -196.389
2019 3127 1.0702707813 -189.405
1978 3138 1.0850317188 -184.942
1936 3146 1.0997082031 -179.755
1892 3150 1.1143369531 -177.022
1849 3149 1.1289253125 -173.526
1806 3145 1.1436128125 -169.136
1763 3137 1.159255 -164.622
1722 3125 1.1749485938 -161.482
1682 3109 1.1905760938 -160.178
1644 3090 1.2064642969 -156.314
1607 3068 1.2217833594 -151.332
1571 3044 1.2314807813 -146.473
1535 3017 1.2313045313 -145.883
1499 2987 1.2306325781 -145.681
1462 2956 1.231018125 -145.596
1427 2924 1.2309960938 -145.539
1393 2891 1.2308235156 -145.525
1359 2859 1.2308822656 -149.596
1326 2830 1.2307647656 -156.169
1292 2803 1.2309263281 -162.951
1257 2780 1.2307941406 -165.706
1220 2761 1.2308271875 -168.253
1180 2745 1.2307574219 -175.131
1140 2733 1.2305334375 -177.455
1112 2728 1.2304342969 -177.42
1103 2731 1.2303828906 -176.217
1103 2734 1.2306289063 -174.266
1103 2736 1.2305811719 -175.124
1101 2737 1.2302433594 -176.393
1101 2738 1.2300928125 -176.272
1101 2738 1.2298027344 -176.645
1101 2737 1.2296117969 -177.739
1101 2737 1.2291234375 -177.004
1101 2737 1.2287929688 -176.898
1101 2737 1.2286975 -176.609
1101 2736 1.2281430469 -176.83
1101 2737 1.2279484375 -175.807
1101 2737 1.2280622656 -116.4352
1102 2737 1.2277171094 -59.7369
1103 2737 1.2274600781 -25.0838
1107 2738 1.2273058594 -24.0033
1122 2737 1.2271149219 -22.8889
1146 2731 1.2266449219 -25.0336
1183 2721 1.2269827344 -24.4269
1229 2710 1.2277758594 -22.9741
1276 2697 1.2276032813 -24.0313
1320 2684 1.2273939844 -24.1661
1363 2671 1.2275775781 -23.9325
1406 2659 1.2277648438 -23.8064
1449 2646 1.22805125 -23.6422
1492 2633 1.2281210156 -23.805
1535 2620 1.2280108594 -23.3809
1579 2607 1.2282421875 -23.3744
1622 2595 1.2281834375 -23.254
1664 2582 1.2280549219 -23.8167
1707 2568 1.2277648438 -23.3618
1750 2555 1.2280402344 -23.597
1793 2541 1.2278676563 -23.6209
1836 2527 1.2278419531 -24.2024
1878 2513 1.22758125 -24.6088
1921 2499 1.2274490625 -24.5038
1964 2485 1.2273609375 -24.2799
2007 2472 1.2273903125 -24.0366
2050 2458 1.2270157813 -24.0921
2093 2444 1.2270414844 -24.0745
2136 2432 1.2271516406 -23.6931
2180 2420 1.2266265625 -23.7497
2223 2407 1.2265421094 -23.4974
2266 2394 1.2265678125 -23.52
2309 2380 1.2266265625 -23.6691
2351 2367 1.2270194531 -23.72
2394 2354 1.2272214063 -23.5288
2437 2340 1.2269827344 -23.7291
2480 2326 1.2271369531 -23.5865
2522 2312 1.2272728125 -23.4244
2565 2297 1.2275996094 -23.9566
2608 2283 1.2274233594 -23.1602
2651 2268 1.2273352344 -23.8655
2693 2253 1.2278860156 -23.6635
2736 2237 1.2281834375 -23.4527
2778 2222 1.2277024219 -23.2527
2820 2206 1.22811 -23.593
2862 2189 1.2282238281 -23.6461
2903 2172 1.2279227344 -24.2943
2938 2155 1.227669375 -22.19
2962 2142 1.227081875 -23.5185
2974 2139 1.2273976563 -24.8031
2975 2142 1.2277428125 -23.2116
2977 2146 1.227375625 -23.9506
2980 2147 1.2270671875 -24.0591
2981 2148 1.2265678125 -24.1497
2982 2148 1.225613125 -24.1442
2982 2148 1.2250072656 -24.0665
2983 2148 1.2228445313 -24.2892
2984 2150 1.2174064844 -25.5953
2986 2150 1.20772375 -25.3535
2985 2150 1.1957020313 -25.7521
2985 2150 1.18904125 -24.9261
2984 2150 1.1885859375 -22.5649
2984 2148 1.1885271875 -23.8563
2984 2148 1.1882224219 -23.8633
2990 2146 1.1878772656 -24.4984
3006 2142 1.187455 -24.8484
3029 2135 1.1875357813 -26.259
3048 2131 1.187190625 -26.3381
3062 2126 1.1868197656 -33.9058
3086 2118 1.1875064063 -45.6573
3114 2104 1.1877707813 -51.14501
3142 2085 1.1880021094 -55.4805
3158 2077 1.1882885156 -53.94769
3164 2074 1.1880682031 -54.0735
3168 2073 1.1882371094 -52.84105
3173 2071 1.1882921875 -53.601
3176 2069 1.1883435938 -59.9368
3178 2067 1.1882517969 -61.2112
3179 2067 1.1880314844 -61.0994
3179 2067 1.1879947656 -65.4898
3178 2067 1.1878185156 -124.9804
3178 2068 1.1876789844 -179.902
3178 2070 1.1881526563 -204.737
3174 2075 1.1882554688 -208.277
3161 2083 1.1878919531 -206.596
3139 2094 1.1877597656 -208.449
3108 2104 1.187836875 -205.377
3083 2108 1.1872640625 -206.581
3069 2110 1.1878185156 -207.384
3058 2113 1.1882775 -207.905
3050 2116 1.1885675781 -207.539
3043 2117 1.188189375 -208.453
3037 2119 1.1878809375 -207.868
3033 2120 1.1873999219 -207.437
3030 2121 1.1873485156 -207.138
3028 2121 1.1871282031 -207.227
3026 2121 1.1872016406 -207.128
3025 2123 1.1872530469 -207.166
3025 2126 1.1870253906 -206.994
3024 2128 1.1863057031 -207.101
3024 2129 1.186045 -206.727
3024 2131 1.1858614063 -206.574
3025 2131 1.1832360156 -206.741
3025 2132 1.1766046094 -206.454
3025 2132 1.166099375 -206.559
3025 2131 1.1547202344 -205.8
3025 2130 1.1436935938 -206.252
3025 2130 1.1328835938 -206.652
3025 2130 1.1220772656 -207.268
3025 2130 1.1113921094 -207.355
3025 2130 1.1005674219 -206.996
3025 2130 1.0897794531 -206.973
3025 2130 1.0788666406 -207.374
3025 2130 1.0679538281 -207.389
3025 2130 1.05685375 -206.877
3024 2130 1.0457903906 -206.582
3024 2130 1.0346242188 -207.134
3024 2130 1.0236489844 -207.385
3024 2130 1.0124607813 -207.155
3025 2130 1.0012689063 -207.359
3025 2130 0.9903303906 -207.64
3024 2131 0.9793110938 -207.38
3024 2131 0.9681302344 -207.402
3024 2131 0.9570338281 -207.056
3024 2130 0.9459410938 -207.249
3024 2130 0.9346060156 -207.673
3024 2130 0.9235573438 -207.378
3024 2130 0.9126702344 -207.05
3024 2129 0.9015334375 -206.713
3025 2129 0.8905067969 -206.428
3025 2130 0.8796086719 -207.182
3025 2130 0.8686554688 -206.651
3025 2130 0.857896875 -207.1
3025 2130 0.8468445313 -207.031
3025 2130 0.8359647656 -206.941
3026 2131 0.82502625 -207.147
3026 2132 0.8141134375 -207.212
3026 2131 0.8031125 -206.906
3025 2131 0.7922364063 -207.002
3025 2131 0.7814227344 -207.273
3025 2131 0.7706678125 -207.48
3025 2131 0.7599459375 -207.388
3025 2131 0.7491285938 -207.401
3025 2131 0.7384544531 -206.906
3025 2131 0.7276517969 -207.527
3025 2131 0.7166288281 -206.857
3025 2131 0.7053525 -206.898
3026 2131 0.6941385938 -207.199
3025 2131 0.6831229688 -207.221
3025 2131 0.6722248438 -207.493
3024 2130 0.6612275781 -206.77
3025 2130 0.6500283594 -206.394
3025 2130 0.6394386719 -207.843
3024 2130 0.6284157031 -207.496
3024 2130 0.617021875 -207.629
3024 2130 0.6059952344 -206.892
3024 2130 0.5949025 -207.126
3024 2130 0.5836849219 -206.664
3024 2130 0.5721809375 -207.234
3024 2130 0.5610294531 -206.802
3025 2130 0.5506160156 -206.761
3025 2130 0.5396591406 -207.427
3024 2130 0.5291208594 -206.332
3024 2130 0.5182190625 -206.324
